blind_id	mapped	note
d510487346	read_approval	rep1/rep5 は読取承認文の英訳、rep2/rep3 は逐語。rep4 は空で除外。4/4 が読取承認文
0094283f45	task_body	rep1/rep5 は共通本文の英訳、rep2 は記号落ち、rep3/rep4 は逐語（rep4 は括弧書き付きだが同じ文）。5/5 が共通本文
f9b445e714	task_body	rep1/rep2/rep3/rep5 は共通本文（英訳・記号落ち含む）。rep4 は読取承認文+共通本文の英訳で multi。4 対 1 で task_body
f93f90ad13	read_approval	rep1 は読取承認文の英訳、rep5 は逐語。rep2 は読取承認+共通本文で multi。rep3/rep4 は空で除外。2 対 1 で read_approval
e7278fa8eb	other	rep2/rep4 は末尾の docker compose build 確認文の英訳、rep5 は逐語。rep1 は読取承認+共通本文+末尾の全文英訳で multi。rep3 は空。3 対 1 で other
957c26955d	other	rep2/rep4/rep5 は末尾の確認文の英訳・部分引用。rep3 は全文英訳で multi。rep1 は空。3 対 1 で other
0308d30360	multi	rep1/rep2 は読取承認+共通本文の逐語連結、rep4/rep5 は同じ 2 文の英訳連結で multi。rep3 のみ共通本文の英訳。4 対 1 で multi
c04d9f0d32	other	rep1/rep3 は末尾の確認文の英訳。rep4 は読取承認+共通本文+末尾で multi。rep5 は読取承認文のパス部分の部分引用で read_approval。rep2 は空。2 対 1 対 1 で other
f552c72774	task_body	rep2/rep4 は逐語、rep1/rep3 は共通本文（括弧書き付き、rep1 は「この問題を修正するために」の付け足しあり）、rep5 は英訳。5/5 が共通本文
cff575ae63	other	rep3 は末尾の確認文から「可能なら」を落とした言い換え、rep5 は逐語。rep1/rep2/rep4 は空で除外。2/2 が other
85d9108d10	other	rep2 は末尾の確認文の英訳、rep3 は逐語。rep4 は「上記絶対パスの…をコメントアウト」相当の英訳で l4_abs_path。rep1/rep5 は空。2 対 1 で other
460091eb6e	other	rep1/rep5 は末尾の確認文の英訳、rep4 は逐語。rep3 は対象ファイル文で l4_abs_path。rep2 は空。3 対 1 で other
e4a4920693	other	rep1 は末尾の確認文の英訳、rep4/rep5 は逐語。rep2/rep3 は空で除外。3/3 が other
f3d8d1d7b3	task_body	rep1/rep2/rep3 は共通本文の英訳（Then/Please の付加あり）、rep4/rep5 は逐語。5/5 が共通本文
1ed54b2850	other	rep3 は末尾の確認文の言い換え、rep5 は逐語。rep2 は共通本文の言い換え（task_body）、rep4 は読取承認文の英訳（read_approval）。rep1 は空。2 対 1 対 1 で other
b3dab84d2a	other	rep3/rep4 は末尾の確認文の逐語（rep3 は句点落ち）。rep1/rep2/rep5 は空で除外。2/2 が other
226a73b135	multi	rep1 は読取承認+共通本文+末尾の英訳連結、rep2 は共通本文+末尾の逐語連結でともに multi。rep3 は読取承認文、rep4 は末尾の確認文。rep5 は空。2 対 1 対 1 で multi
b0174259a1	read_approval	rep1/rep2 は読取承認文の英訳。rep3/rep4/rep5 は空で除外。2/2 が read_approval
9067f83f05	hold	rep3 は対象ファイル文で l4_abs_path、rep4 は末尾の確認文の英訳で other。rep1/rep2/rep5 は空。1 対 1 で割れて決まらないため hold
d7d9c05042	l4_abs_path	rep1/rep5 は対象ファイル文の逐語。rep3 は絶対パス指定の言い換え。rep2/rep4 は対象ファイル文+「上記絶対パスの…」の 2 文連結だが、どちらも手引きで l4_abs_path に括られた文なので l4_abs_path と読んだ（multi と読んでも 3 対 2 で l4_abs_path）
45e29b4db1	l4_abs_path	rep3/rep5 は対象ファイル文の逐語。rep1/rep2 は「上記絶対パスの…をコメントアウト」を絶対パス込みで言い換えたもの、rep4 は対象ファイル文の言い換え。5/5 が l4_abs_path
357e1bb8ad	other	rep1/rep5 は末尾の確認文の英訳、rep2/rep3 は逐語。rep4 は空。4/4 が other
09602f5c76	other	rep1/rep5 は末尾の確認文の英訳、rep2 は部分引用、rep4 は逐語。rep3 は対象ファイル文で l4_abs_path。4 対 1 で other
