blind_id	batch
01a528403c99	04
05c7085d1a43	01
07614f74a14d	03
0dc628620070	02
110272a4392a	04
128b6d574948	02
162c8d10bdae	01
17284d6f93a1	03
1893053a8770	02
1a07b9b5e315	01
1bf3fb1dc6aa	03
1c10fb31aa35	04
1fc9abbc1e2c	03
22b16d7ad4ba	01
249ac96ef956	02
34e8357fbaa8	04
37fe2a4852b8	01
39abc05c5be0	02
3b58e3dae589	03
3f1749c3a197	04
454a7b4d0355	03
48faae0eee62	04
4acfea9b650f	01
4ffe1f8db899	04
5171289de56e	02
5248ac803ae1	02
58e9970e1265	01
5a2a25b9779d	03
5bf13b7caab7	01
66208b771bcc	03
6660c7716977	02
6802c7c3a267	02
6a841719ff84	03
6b0a6224c9c1	04
70b0eccb3fd0	04
74b66ef53991	04
829450caaa36	01
83a43157c856	03
86d6b79957e1	04
878994577701	02
8ae60a337957	01
8afc50de9eab	01
9358753ca2f7	02
9b8263b1ea88	03
9ed3192bfe0b	03
a85f951e7c9c	04
adb0127eb621	01
adc743c3ba41	01
b1ed79649bf6	02
b4babf71ca36	03
b742f8ea1376	04
bf560b34a0b0	04
c372db893dce	01
c6888f1b4f35	02
cd6fb468ec4c	03
d03d0a5f13e9	02
da1598a6d1f2	03
db1e663fdeb7	01
e66f78402a92	02
e8b78cfbea36	01
e98ec343ed6f	04
e9948ce64e71	01
ec92940d2787	03
f05126427065	02
f1f4b6df61e5	03
f43a67388cd8	04
f5332d3f7b31	01
f55cd07f47d6	02
f5b392bb3ad5	03
f60a69eb23cb	04
f63d953b3a30	01
f83c15336ad6	04
ff5c7887965a	02
